ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
L8.1908,1833 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Cedar Key,338500,3,3,1830,2 Car Garage,,28.95979878,-81.94357595,A,P,,244707
L9.2520,1718 PEBBLE BEACH LN,The Village of Country Club Hills,Lake,Manufactured Home,210000,2,2,1412,,,28.95539346,-81.94129958,A,P,,244631
L14.4719,1222 DEL TORO DR,The Village Del Mar,Lake,Ranch Home,229000,2,1,936,,,28.93118946,-81.95298111,A,P,,244837
S25.97,1503 ALCARAZ PL,The Village Santo Domingo,Sumter,Sausalito,324900,3,2,1904,2 Car Garage,,28.95124895,-81.97158974,A,P,,242978
S645.46,2840 LEICESTER TER,The Village of Belvedere,Sumter,Beauregard,339000,2,2,1131,"1 Car, plus Golf Car Garage",,28.92182623,-82.02570144,A,P,,245837
S112.6,133 OLANTA DR,The Village of Caroline,Sumter,Amarillo,345000,3,2,1392,2 Car Garage,,28.90160093,-81.95515658,A,P,,245839
S105.186,1326 ALLSTON CT,The Village of Bridgeport at Lake Sumter,Sumter,Williamsburg,929900,3,2,2425,"2 Car, plus Golf Car Garage",,28.91216186,-81.9841348,A,P,ClgS3T4v02E,245282
S705.37,1564 BOTTLEBRUSH ST,The Village of Duval,Sumter,Colony,269000,2,2,1156,"1 Car, plus Golf Car Garage",,28.87103777,-81.99105315,A,P,,244463
S144.44,2634 RADLEY LN,The Village of Hemingway,Sumter,Juniper,500000,3,2,2000,2 Car Garage,,28.86957011,-81.97532912,A,P,,243807
S202.63,1349 PINEY WOODS PATH,The Village of Dunedin,Sumter,Santa Rosa,365000,3,2,1539,2 Car Garage,,28.8421814,-81.98511363,A,P,,246353
S616.57,5616 BOBCAT TER,The Village of Fenney,Sumter,Bonifay,374900,3,2,1409,"1 Car, plus Golf Car Garage",,28.79681792,-82.02536389,A,P,JtDWL5Iy43g,245030
S44V.11,5034 SANDER STREET,The Village of Chitty Chatty,Sumter,Zinnia,849900,3,3,1977,"2 Car, plus Golf Car Garage",Swimming Pool,28.81070843,-81.97970308,A,P,pEIBgY7WwvQ,245079
L51V.4,6577 GARY LANE,The Village of Newell,Lake,Eagle,414900,3,2,1558,2 Car Garage,,28.77353329,-81.94929158,A,P,9p4JId_h2_4,245166
L58V.20,6946 LISA LANE,The Village of Lake Denham,Lake,Nest,244000,2,2,946,"1 Car, plus Golf Car Garage",,28.76410581,-81.94170368,A,P,,246053
L62V.54,7169 DENVER AVENUE,The Village of Lake Denham,Lake,Garnet,354900,2,2,1261,"1 Car, plus Golf Car Garage",,28.7585856,-81.93933041,A,P,,243934
L67V.60,1214 EUNICE STREET,The Village of Lake Denham,Lake,Hideaway,248500,2,2,1016,"1 Car, plus Golf Car Garage",,28.75904125,-81.92957794,A,P,,244710
S217V.18,1615 MCMURTRIE LOOP,The Village of Moultrie Creek,Sumter,Warbler,989900,4,2,2663,"2 Car, plus Golf Car Garage",,28.74722468,-81.99387531,A,P,,246431
