ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S601.38,1613 NAVIDAD ST,The Village Alhambra,Sumter,Colony,289000,2,2,1121,"1 Car, plus Golf Car Garage",,28.95371062,-81.98800002,A,P,TN1yKTt7QaQ,246084
S601.54,1620 DURAN DR,The Village Alhambra,Sumter,Colony,254900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95235184,-81.98804154,A,P,,246032
S31.90,2713 PRIVADA DR,The Village Alhambra,Sumter,Stetson,249999,2,2,1248,2 Car Garage,,28.95363446,-81.99636152,A,P,SaerBGZdta0,246713
L7.1227,1619 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,209900,2,2,1300,,,28.95342747,-81.95402597,A,P,,245573
L7.1260,1765 LAUREN LN,The Village of Country Club Hills,Lake,Manufactured Home,180000,2,2,1270,,,28.95502115,-81.95233154,A,P,,246507
L7.1401,1731 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,230000,2,2,1092,,,28.95799621,-81.95059159,A,P,,244933
L8.1717,937 ORCHID ST,The Village of Country Club Hills,Lake,Manufactured Home,210000,3,2,1365,,,28.95617247,-81.94529247,A,P,,246067
L9.2554,1606 MYRTLE BEACH DR,The Village of Country Club Hills,Lake,Manufactured Home,189900,2,2,1332,,,28.95260514,-81.94414168,A,P,,246041
L9.2601,1617 HILTON HEAD BLVD,The Village of Country Club Hills,Lake,Manufactured Home,199000,2,2,1144,,,28.95333119,-81.94419849,A,P,wQlZKHN6n0Q,245983
L13.3300,1424 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Site Built Home,260000,2,2,1332,,,28.95066011,-81.95144772,A,P,,245560
L13.3394,1112 PARADISE DR,The Village of Country Club Hills,Lake,Manufactured Home,189900,2,2,1336,,,28.95192525,-81.95100102,A,P,,246495
L13.3438,1125 PARADISE DR,The Village of Country Club Hills,Lake,Manufactured Home,224900,2,2,1440,,,28.95230996,-81.95168027,A,P,,245858
S14.162,717 DEL ROSARIO ST,The Village de La Vista,Sumter,Sierra,367000,3,2,1712,2 Car Garage,,28.93204076,-81.96591688,A,P,,244935
L14.4807,724 PRADO DR,The Village Del Mar,Lake,Cottage,259000,2,2,1294,,,28.93283787,-81.95315441,A,P,,245293
L14.4865,1205 PANAMA PL,The Village Del Mar,Lake,Manufactured Home,224900,2,2,1326,,,28.93548207,-81.95297545,A,P,,245309
