ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber
S601.24,1627 CAMPOS DR,The Village Alhambra,Sumter,Colony,253900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95430864,-81.98951979,A,P,,249190
S24.8,2626 PRIVADA DR,The Village Alhambra,Sumter,Durango,459900,2,2,1213,2 Car Garage,Swimming Pool,28.95397523,-81.99217044,A,P,,250708
S31.180,2735 PRIVADA DR,The Village Alhambra,Sumter,Stetson III,325000,3,2,1527,2 Car Garage,,28.95427754,-81.9974991,A,P,7apEkVYb5e8,250248
L7.1170,1618 KILEY CT,The Village of Country Club Hills,Lake,Manufactured Home,240000,2,2,1144,,,28.9530572,-81.94790375,A,P,,250881
L7.1211,1610 LAUREN LN,The Village of Country Club Hills,Lake,Manufactured Home,209900,2,2,1446,,,28.95429304,-81.95111179,A,P,,249932
L7.1407,1743 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,100000,0,0,0,,,28.95803071,-81.9493937,A,P,,250812
L7.1412,1732 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,El Paso,279000,2,2,1105,,,28.95761121,-81.95058017,A,P,,249885
L8.1575,1736 MAGNOLIA AVE,The Village of Country Club Hills,Lake,RANCH,269900,2,2,1121,"1 Car, plus Golf Car Garage",,28.95716704,-81.94527661,A,P,,250266
L8.1668,714 ORCHID ST,The Village of Country Club Hills,Lake,Manufactured Home,239000,2,2,1352,,,28.95821793,-81.93856503,A,P,,250342
L8.1699,1802 DAFFODILL LN,The Village of Country Club Hills,Lake,Alameda,225000,2,1,926,"1 Car, plus Golf Car Garage",,28.95798206,-81.94256952,A,P,,250135
L8.1905,1827 W SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,139900,2,1.5,936,,,28.95988504,-81.94414958,A,P,,250288
L8.1923,820 HIBISCUS DR,The Village of Country Club Hills,Lake,Manufactured Home,194900,2,2,1088,,,28.95946053,-81.94129513,A,P,,250553
L9.2667,1609 DORAL CIR,The Village of Country Club Hills,Lake,Manufactured Home,217900,2,2,1446,,,28.95466476,-81.94127833,A,P,,250963
L10.2013,1525 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Manufactured Home,159900,2,1,832,,,28.95223234,-81.93713569,A,P,,250774
L10.2158,1528 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Corpus Christi,305000,2,2,1248,2 Car Garage,,28.95251123,-81.93736633,A,P,,249568
L10.2172,1614 E SCHWARTZ BLVD,The Village of Country Club Hills,Lake,Cedar Key,315000,2,2,1248,2 Car Garage,,28.95474129,-81.93591495,A,P,,249862
L10.2224,1630 CYPRESS PT,The Village of Country Club Hills,Lake,Cedar Key,234500,2,2,1279,,,28.95607024,-81.93948561,A,P,,250900
L10.2266,1701 PALM AIRE DR,The Village of Country Club Hills,Lake,Manufactured Home,226990,2,2,1352,,,28.95574082,-81.93832095,A,P,9-rt5J71Nbk,249243
L11.2760,602 SAINT ANDREWS CIR,The Village of Country Club Hills,Lake,Site Built,424900,2,2,1394,3 Car Garage,Swimming Pool,28.95257942,-81.93321777,A,P,,250050
