ULIKey,Address,Village,County,Model,Price,Bedrooms,Baths,SquareFeet,Garage,Pool,Latitude,Longitude,Status,SaleType,YouTubeVideoId,VLSNumber,OwnerName
S811.44,2264 WAYLAND ST,The Village of Tamarind Grove,Sumter,Bonita,365000,3,2,1397,"1 Car, plus Golf Car Garage",,28.87431798,-82.00985637,A,P,,248833,
S601.38,1613 NAVIDAD ST,The Village Alhambra,Sumter,Colony,315000,2,2,1121,"1 Car, plus Golf Car Garage",,28.95371062,-81.98800002,A,P,,248904,
S21.26,2109 GERARDO AVE,The Village Palo Alto,Sumter,Carolina III,445000,3,2,1668,2 Car Garage,,28.93931165,-81.97679794,A,P,,246805,
S694.13,880 TREVINO TER,The Village Rio Ranchero,Sumter,Mazatlan,335000,2,2,1102,"1 Car, plus Golf Car Garage",,28.93546812,-81.96479862,A,P,,246304,
S943.8,3070 GULFPORT CT,The Village of Pinellas,Sumter,Cambridge,379000,2,2,1250,,,28.85893202,-82.01380459,A,P,,247590,
S966.179,3879 E TORCH LAKE DR,The Village of Collier at Antrim Dells,Sumter,Wyndham,789000,3,2,1851,2 Car Garage,Swimming Pool,28.8393749,-82.01421148,A,P,crqD3oX7X7k,248133,
S731.47,2826 KILCREASE LOOP,The Village of DeLuna,Sumter,Belmore,425000,3,2,1699,2 Car Garage,,28.8206354,-82.02541757,A,P,wV-TEH7dZPw,248134,
S47V.8,1132 MAYNARD PATH,The Village of Bradford,Sumter,Indigo,699000,3,3,1901,"2 Car, plus Golf Car Garage",,28.79819072,-81.97750264,A,P,,248152,
S48V.124,5824 SCHAEFFER TER,The Village of St. Catherine,Sumter,Lilac,525000,3,2,1918,"2 Car, plus Golf Car Garage",,28.79165302,-81.97575733,A,P,,249142,
L66V.98,1188 ELKINGTON RD,The Village of Lake Denham,Lake,Woodstar,450000,3,2,1861,2 Car Garage,,28.76013706,-81.92909306,A,P,,248214,
L68V.2,1054 JOETTE PL,The Village of Lake Denham,Lake,Whispering Pine,384500,3,2,1710,2 Car Garage,,28.75729267,-81.92520037,A,P,,247941,
